Country,State,City,Name,Category - Final,Description,Website
Israel,,Tel Aviv-Yafo,Upsolver,Automation,"Upsolver's platform utilizes Kappa Architecture, eliminating the need for high-overhead database activities and allowing applications to be built directly on top of raw streaming data, receiving and manipulating the data to answer business questions in real time.",http://upsolver.com/ 
Israel,,Herzliya,Upstream,Transportation,,https://www.upstream.auto
Canada,British Columbia,Surrey,UrbanLogiq,Text Analytics,"UrbanLogiq is a data analytics platform that integrates public and private datasets and applies machine-learning algorithms to make city planning faster, cheaper, and more accurate.",http://www.urbanlogiq.com
United States,Illinois,Chicago,Urbanstat,Text Analytics,"UrbanStat helps insurers to select best risks by using spatial algorithms, hazard models, machine learning, and industry best practices.",http://www.urbanstat.com
United States, New York,New York,Urbint: Where urban data becomes actionable intelligence,Text Analytics,We pair raw urban data with AI to provide actionable intelligence & empower urban operators to solve their critical infrastructure issues,https://urbint.com
United Kingdom,England,London,Userbot,Communication,"Userbot is artificial intelligence for customer service. It answers users' questions in real time at any time of day. When it cannot answer a question, it invites a human agent to the chat to get the answer. It recognizes natural language and automates frequent answers.",http://www.userbot.ai
Canada, Ontario,Toronto,Usful,Energy,"Be useful, change the world.",https://usful.co/
United States, Virginia,Chantilly,USM Business Systems,Human Resources,USM Business Systems is a global IT services and staffing company.,https://www.usmsystems.com/
Finland,,Helsinki,Utopia Analytics,Text Analytics,"Utopia is a forerunner of analytics: we excel at solving the hardest cases of text analytics, machine learning, big data and artificial intelligence",http://utopiaanalytics.com/
United States, New York,New York,utopia.AI,Communication,Utopia Thinking Systems develops AI solutions that are disrupting customer care and contact systems by means of Deep Learning usage.,https://utopia.ai/
United States, Washington,Seattle,Utrip,Travel,Free travel planning technology that uses artificial intelligence to create personalized itineraries,https://utrip.com/
China,,Haidian District,Uurobot,Robotics,,http://www.uurobot.com
United States, California,Fremont,V5 Systems Inc,Defense/Security,Developer of Worldâ€™s first Self-Powered Outdoor Security and Computing Platform for the Industrial IoT,http://v5systems.us/
Israel,,,Vala,Fintech,Vala offers secure money transfer and remittance services by creating a marketplace and applying risk technology. Vala enables local affiliates to become ‘human ATMs’ through its affiliate network in which senders and receivers transfer cash easily and anywhere.,www.valapay.com
Finland,,Oulu,Valossa,Computer Vision,"Valossa provides AI-powered video search technology enabling the natural way of discovering content. The company's technology is capable of analyzing video streams in real-time to identify more than one thousand concepts (e.g. places and objects) from any video stream. This enables automated scene descriptive metadata creation for content production, real-time video content discovery applications and contextual advertising.",http://www.valossa.com
Israel,,,VATBox,Fintech,"VATBox is a cloud-based solution that enables companies to get back all potential value-added tax (VAT) paid abroad smoothly, easily, and automatically, minimizing overhead and maximizing refunds.",www.vatbox.com
Israel,,,Vault,Sales/Marketing,,https://www.vaultml.com
Israel, Tel Aviv,Tel Aviv,VaultML,Text Analytics,Vault aims to improve the media sector by harnessing the world's most powerful content prediction platform.,https://www.vaultml.com
Israel,,Or Yehuda,VayaVision,Transportation,,https://www.vayavision.com
Israel, Tel Aviv,Tel Aviv,vBrand,Sales/Marketing,Artificial Intelligence Platform for Brand Sponsorship,http://www.vbrandsports.com
Israel,,,Vectored Photonics,Entertainment,,http://www.vectored-photonics.com
United States,California,San Jose,Vectra Networks,Defense/Security,"Vectra Networks specializes in automating the hunt for in-progress cyber attacks. Vectra automatically detects, triages and correlates threats against hosts that are under attack and provides insight into what attackers are doing so organizations can quickly prevent or mitigate loss. Vectra prioritizes attacks that pose the greatest business risk, enabling organizations to make rapid decisions on where to focus time and resources.",http://www.vectra.ai
United States, District of Columbia,Washington,VEDA Data Solutions,Healthcare,VEDA Data Solutions creates fully automated machine learning solutions that integrate with customers existing systemsâ€“ Nodata scientist required. VEDA's products are cloud based and accessed through APIs. It allows businesses access to innovative data science they need in their current dashboards.,http://www.vedadata.com
United States, California,San Francisco,Vegas Jets,Travel,"The worldâ€™s first Ai-powered, 7-Star private jet service that anticipates all your travel needs.",https://www.vjet.co/
France,,Lille,Vekia,Business Intelligence,"Vekia creates Supply Chain Management software solutions for retailers. The Company focuses on sales forecasting and supply chain optimization, customer load forecasting and, more generally, machine learning for retail.",http://www.vekia.fr
United Kingdom,,Devon,Velmai,Communication,,http://www.velmai.com/
United Kingdom,England,London,VendorMach,Fintech,VendorMach applies machine learning to company and board data from a wide variety of sources to produce a proprietary score which reflects both financial and reputation-risk associated with a company.,http://www.vendormach.com
Israel,,Tel Aviv,Verbit.ai,Automation,,https://verbit.ai
United States, California,San Francisco,VergeSense,Real Estate,"VergeSense is a Y Combinator-backed startup that develops an AI-powered sensing device for building management. The sensor-as-a-service platform consists of devices containing a series of different sensory inputs, including an image sensor, coupled with a cloud platform for pre-training machine learning models that run on the hardware, process data and report occupancy analytics back to VergeSenseâ€™s cloud.",http://www.vergesense.com
Sweden,,Stockholm,Veridict,Business Intelligence,"Artificial Intelligence company that enables enterprise customers to Access, Process, Analyze and Visualize their business-critical data on a massive scale in real-time.",http://www.veridict.com/
United Kingdom,England,London,Veridu,Fintech,"Veridu is an accurate, reliable and trustworthy tool to quickly and efficiently verify the identity of users in order to eliminate fraud and unwanted user behavior. The company's main focus is making strong authentication that is friendly and useful for both customers and their users. Veridu provides both single sign on plugins and more comprehensive authentication tools to give the highest level of protection, with the simplest possible process for both businesses and end users.",http://www.veridu.com
Israel,,,Verifyoo,Fintech,Verifyoo's goal is to provide safe and reliable biometric identification and authentication systems in cyberspace. ,www.verifyoo.com
United States, California,Costa Mesa,"Veritone, Inc.",Communication,"Veritone (NASDAQ: VERI) is a cloud-based artificial intelligence (AI) technology company with an open platform that combines applications with orchestrated cognitive computing to transform unstructured data, extracting intelligence from public and private content globally.",http://www.veritone.com
India,,Bengaluru,Vernacular.ai,Communication,Vernacular.ai is a multilingual artificial intelligence platform for businesses.,http://www.vernacular.ai
China,Beijing,Shanghai,Versa,Computer Vision,Versa uses artificial intelligence to change the visual effects of a picture via its image processing app.,http://www.versa-ai.com
United States, Washington,Seattle,Versive,Human Resources,"Versive, formerly known as Context Relevant, is a team of engineers, data scientists, and technologists encapsulating machine learning, data science tools, statistical methods and an advanced distributed system into a platform that makes high-speed data analysis accessible to a breadth of industries.",http://www.versive.com
Germany,,Berlin,Versus,Data Analytics,"Versus.com is a data-driven comparison platform where you can compare anything, from cars to smartphones or cities. Versus currently comprises 7 million product comparisons and covers the latest technology news.",https://versus.com/en
France,,Paris,Verteego ,Internet of Things,,http://www.verteego.com/
Israel,,,Verum View ,Defense/Security,"VerumView offers its customers an exclusive view of their end-users' stories. The company has created a simple, seamless, immediate SaaS tool for real-time know-your-client (KYC) processing. VerumView constitutes a data source for online service providers, payday lenders, and anyone who needs not only to verify a client's identity, but to obtain insight into the client's online presence, credit, purchase patterns, and other BI information.",www.verumview.com/
United States,New York,New York,Vestorly,Fintech,"Vestorly is a technology company solving the content marketing problem for professional service providers, and the enterprises that support them. Vestorly's technology provides a unique content discovery experience and data-powered lead generation. Vestorly is currently being used by professionals from over 400 financial services firms and institutions to link digital marketing efforts with client acquisition goals.",http://www.vestorly.com
United States, Washington,Bellevue,Vettd,Human Resources,Vettd creates solutions that augment human intellect and transform how talent strategies are approached in the human resources industry.,https://vettd.com
Israel,,,vHive,Defense/Security,"vHive is the developer of a cloud-based artificial intelligence solution that enables organizations to operate autonomous drone fleets for the acquisition, management, and processing of field data. vHive's Mission AI enables organizations and drone operators to manage missions of any scale, by taking into account mission goals and types, the number of drones and their capabilities, various sensor types, and a variety of mission parameters such as regulations, safety, environmental conditions, and real-time mission dynamics. The company is active in industries such as Civil Engineering, Construction, and Utilities.",http://www.vhive.io
Singapore,,Singapore,Vi Dimensions,Computer Vision,, http://vidimensions.com/
United States, Massachusetts,Somerville,Via Science,Energy,"Via Science creates software applications that identify and prioritize risks to critical infrastructure using a combination of high-performance computing, machine learning and causal analytics. Headquartered in Cambridge, Massachusetts, with its research center in Montreal, Quebec, Via Science has developed its risk assessment algorithms in conjunction with some of the world's leading companies and government agencies in energy and security.",http://www.viascience.com
France,,Paris,Viavoo,Text Analytics,,https://www.viavoo.com/
United States, California,San Francisco,Vicarious,Robotics,Vicarious is an artificial intelligence company that uses the computational principles of the brain to develop general intelligence for robo,https://www.vicarious.com/
United States,California,Union City,Vicarious Systems,Robotics,"Vicarious is an artificial intelligence research company that uses the computational principles of the brain to build software designed to think and learn like a human. Leveraging a new computational paradigm called the Recursive Cortical Network, the company has developed a visual perception system that interprets the contents of photographs and videos in a manner similar to humans. The research at Vicarious is expected to have applications for robotics, medical image analysis, image and video search, and many other fields.",http://www.vicarious.com
Israel,,Jerusalem,Vicarius,Defense/Security,"Vicarius offers an application-driven security solution that creates a proxy between the endpoint’s capabilities and the programs that use it. This enables Vicarius to determine who is authorized and to block, deceive, and monitor unauthorized users.",https://vicarius.io/ 
China,,Beijing,Video Connect Anything,Computer Vision,"VCA (è§†è¿žé€š), aka Video Connect Anything, is a computer vision SaaS company that provides video intelligent analysis engine and interactive scenes.",http://www.bjvca.com
Israel,,Petach tikva,Video inform,Computer Vision,,http://www.video-inform.com
Israel,,Or Yehuda,Video Therapy,Healthcare,,https://videotherapy.co/vt/home.php#head
China, Shanghai,Shanghai,VideoPlusPlus,Sales/Marketing,VideoAI and in-video apps for interactive video,http://www.videopls.com
Switzerland,,Villaz-St-Pierre,ViDi Systems,Computer Vision,"ViDi Systems is a maker of deep learning software for industrial machine vision. ViDi's deep learning software uses artificial intelligence techniques to improve image analysis in applications where it is difficult to predict the full range of image variations that might be encountered. Using feedback, ViDi's software trains the system to distinguish between acceptable variations and defects.",http://www.vidi-systems.com
United States, California,San Francisco,Vidora,Automation,"Vidora is a mobile video app which allows consumers to discover, watch, and engage with high quality video content from a variety of publishers across web and TV. The founding team includes PhDs and graduates from Stanford, Berkeley, and Caltech in machine learning / computer vision.",http://www.vidora.com
United States,California,San Jose,Viewdle,Text Analytics,"Viewdle is a facial-recognition powered digital media platform for indexing, searching and monetizing video assets. Viewdle automatically looks inside the video, frame-by-frame, to create a real-time index of true on-screen appearances.  The company seeks to build a people-in-video reference database.    In October 2012, Viewdle was acquired by Google's Motorola Mobility unit. The valuation of Viewdle was undisclosed. Other terms of the deal were not released.",http://www.viewdle.com
United Kingdom,,London,Viewsy,Sales/Marketing,,http://www.viewsy.com/
United States, California,Oakland,Vigilent,Energy,"Vigilent is the leader in dynamic cooling management systems, an essential solution for data center infrastructure management (DCIM).",http://www.vigilent.com/
Israel, Tel Aviv,Tel Aviv,viisights,Computer Vision,"viisights has developed a video data management and intelligence platform that provides data as a service (DAAS) analytics solutions for content discovery, brand safety and targeting. The platform offers a one-stop-shop for video metadata and user-profile management. viisights expands the revenues for publishers with large video content libraries and delivers higher quality video ad targeting data for advertisers.",http://www.viisights.com
United States, California,San Francisco,Villca Solutions LLC,Business Intelligence,"We develop Machine Learning and AI algorithms for the healthcare, retail and wearables industry",http://www.villca.com
United States, California,Palo Alto,Vilynx,Computer Vision,"Vilynx, founded in Barcelona, aims to simplify the way users take, store, share, browse, and curate personal videos. Using machine learning, video personalization, and rich metadata, the company's platform provides users with an easy way to upload videos to a cloud account to consolidate, manage, and organize personal videos.",http://www.vilynx.com
China,,Beijing,Vinci,Entertainment,"Vinci is a provider of AI-powered smart headphones, acting as an independent voice first computing device that plays music locally. By using voice commands, consumers are able to search for songs and scroll through their music collection without looking at the device. It also combines Spotify/SoundCloud/Amazon music recommendations with personalized real-time preferences based on heart rate, activities, and the user's surroundings.",http://www.vinci.im
China, Beijing,Beijing,Vincross,Robotics,Vincross is a consumer robotics company.,https://www.vincross.com/cn/
Slovenia,,Ljubljana,violanto,Sales/Marketing,Violanto provides data driven eCommerce Solution by measuring and acting on the demand in real-time. Violanto builds artificial intelligence system that increase sales by automatically matching customers and best-selling products.,http://violanto.com/
Sweden,,Stockholm,Vionlabs,Entertainment,"Controlling the large amounts of content, a technology company whose aim is to support the media and entertainment industry to adapt and deliver on the ever increasing needs of its digital user base.",http://www.vionlabs.com
China,,Haidian District,Vionvison,Core AI,,http://www.vion-tech.com/
United States, California,Palo Alto,Visabot,Communication,Visabot is an AI-powered solution for streamlining U.S. visa process.,http://www.visabot.co
Taiwan,,Taipei,Viscovery,Computer Vision,"Viscovery (Funwish Corp.) is a cloud-based image recognition technology company, providing customers with product, offline and video recognition solution.",http://www.viscovery.co
Singapore, Central Region,Singapore,ViSenze,Computer Vision,ViSenze simplifies the visual web through artificial intelligence.,http://www.visenze.com
United Kingdom,,London,Visii,Computer Vision,,https://www.visii.com
United Kingdom,,London,Visio Ingenii,Computer Vision,,https://www.visioingenii.com
Switzerland,,Lausanne,VisioSafe,Computer Vision,,http://www.visiosafe.com/en/index.html
Portugal,,Lisbon,visor.ai,Communication,,http://www.visor.ai/
South Korea,,Seoul,Visual Camp,Computer Vision,VR/AR eye-tracking development,http://www.visual.camp/
Israel,,,Visual Travel,Travel,"Visual Travel's engine collects and analyzes data from multiple sources about points of interest for tourists, such as restaurants, bars, museums, shopping areas, concerts, and sports events. This data is then turned into personalized videos, images, tips, and recommendations served to customers via the chatbot.",www.visual.travel/beta
France,,Rennes,VitaDX International,Healthcare,VitaDX International is a biotechnology company that is developing a medical software solution for the early diagnosis of bladder cancer using fluorescence imaging and machine learning.,http://www.vitadx.com
United States, New York,New York,Vital AI,Business Intelligence,"As an artificial intelligence company, Vital offers ubiquitous AI services to create intelligent interactions and business processes",http://www.vital.ai
United States, California,San Jose,Viv,Sales/Marketing,"Viv is an artificial intelligence platform and virtual assistant that enables developers to distribute their products through an intelligent, conversational interface. Viv has developed an open artificial intelligence (AI) platform that gives third-party developers the power to use and build conversational assistants and integrate a natural language-based interface into renowned applications and services.",http://www.viv.ai
Norway,,Oslo,Viva Smart Home,Defense/Security,"Automating the home - saving energy, improving security, providing peace of mind - shouldn't be about ""controlling your home from your phone"", it should be about making life easier",https://meetviva.com/
Sweden,,Gothenburg,Vivalect,Defense/Security,"Authentication, cyberSecurity, privacy",http://vivalect.com/
Switzerland,,Lausanne,Vividly,Entertainment,,http://www.vividlyapp.com/
United States, California,San Francisco,Viz,Healthcare,"Viz.ai is using deep learning to universalize ultrasound. Viz.ai makes point of care ultrasound simple and easy to use. Using AI, Viz's method instantly compares a scan of the patient to hundreds of thousands of other scans, thereby creating patterns for medical conditions. Viz's technology can divide the scans into different categories, thereby helping doctors to make the right decisions more quickly and reducing the likelihood of missing something when the scan is examined.",http://www.viz.ai
China,,Fengtai District,VLink,Communication,,http://www.vlink.cn
Israel,,Yokneam Illit,Vocal Zoom,Communication,"VocalZoom supplies Human-to-Machine Communication (HMC) sensors for delivering a natural, personalized and secure voice-controlled user experience in today’s increasingly mobile and interconnected world. The sensors enable accurate and reliable voice control and biometrics authentication in any environment, regardless of noise. ",www.vocalzoom.com 
Israel,,Yokneam Ilit,VocalZoom,Communication,"VocalZoom was founded in 2010 with the mission to enable voice communication and Voice recognition in virtually any environment . To reach this objective the company developed a unique optoelectronic microphone able to substantially enhance a speaker's voice over any background noise (including voices of other speakers). VocalZoom's unique technology creates a ""Virtual Cube"" in space, sensing sound from only within the cube. This results in a highly significant speech enhancement and precise speaker isolation, which are the key elements missing today to enable mass-usage of voice driven applications.",http://www.vocalzoom.com
United States,Pennsylvania,Pittsburgh,Voci Technologies,Business Intelligence,"Voci Technologies delivers speech-to-text solutions for enterprise applications. The company offers hardware-accelerated speech recognition technology, providing speech appliances based on the HyperVox technology. Voci has developed an implementation of speech-to-text algorithms in hardware to achieve speech recognition solutions.",http://www.vocitec.com
United States, Washington,Bellevue,VoiceBox Technologies,Communication,"A Voice Tech pioneer prominent in Automotive, now bringing Natural Language Understanding to the 'Internet of Things'. AUTO+HOME+MOBILE",https://www.voicebox.com
United States, California,San Francisco,VoiceOps,Communication,AI powered analytics for sales calls.,https://voiceops.com
United States, California,Menlo Park,Voicera (formerly Workfit),Communication,"Voicera is the creator of Eva, an intelligent voice facilitator to make meetings more productive.",https://www.voicera.com
United States, New York,Albany,Voiceter Pro LLc.,Communication,"Voiceter Pro, LLC. is the conversational search company",http://voiceterpro.com
United States, California,San Francisco,Volley Labs,Business Intelligence,Volley is a web-based application that transforms material like textbooks and assignments into personalized learning experiences.,http://volley.com
United Kingdom,,London,Vortexa,Energy,,http://www.vortexa.com
United Arab Emirates,,Dubai,Votek,Communication,Votek is a software company specialized in developing high-tech and innovative solutions based on automatic Arabic Speech Recognition.,http://www.votek.me
India, Maharashtra,Jalgaon,Vovero Software,Core AI,Building Superbot.in,voverosoftware.com/
United States,California,Los Angeles,VoxelCloud,Healthcare,"VoxelCloud (ä½“ç´ ç§‘æŠ€) utilizes artificial intelligence and cloud-computing technologies to provide automated medical image analysis and clinical decision support for medical practitioners. Founded in 2015, VoxelCloud aims to provide accurate, accessible, and personalized medical image analysis by building medical image knowledge graph based on medical semantics and multiple artificial intelligence models.",http://www.voxelcloud.io
Sweden,,,Voxo,Fintech,Enables financial institutions to improve efficiency and ensure regulatory compliance in client advisory meetings by transcribing voice recordings into searchable and analysable documentation and streamlining currently manual documentation processes and protocols.,http://voxo.ai
Germany,,Hamburg,Voya Travel,Automation,,https://voya.ai/en/
Israel,,Hod Hasharon,Voyager Labs,Core AI,"Voyager Labs offers an artificial intelligence engine that combines expert systems with deep-learning algorithms and is capable of extracting dynamic, real-time, and tailored insights into human behavior by analyzing massive amounts of publicly available unstructured data.",http://www.voyagerlabs.co
Ireland,,Dublin,Voysis,Communication,"Voysis is a complete voice AI platform that enables natural language instruction, search, and discovery across consumer and enterprise applications. Voysis generates deep domain, brand-specific, intelligent voice systems in near real time. It combines a brand's data with its deep learning capabilities to become all-knowing about the brand's products and services. The platform includes a comprehensive understanding of a product's functionality and data to ensure that voice solutions are complete and fit for purpose; voice-driven search and discovery so users can find what they're looking for using natural language; complex logic handling to enable voice-driven instruction for each and every capability a product offers; and support for 16 languages to enable the creation of multilingual solutions.",http://www.voysis.com
India, Maharashtra,Mumbai,vPhrase Analytics Solutions Pvt. Ltd.,Text Analytics,"vPhrase Analytics Solutions runs an artificial intelligence-based data analytics platform and helps businesses make their reports more easier to comprehend. vPhrase's patent-applied platform, Phrazor, analyzes data, derives insights and then communicates those insights, in words, in multiple languages.",http://www.vphrase.com
Japan,,Tokyo,Vrchel,Entertainment,"VRCHEL is capable of 360 VR video analyses. With complete audio analysis included, it’s the ultimate media AI.",https://vrchel.com/
Japan,,Tokyo,VRCon,Robotics,,https://www.asratec.co.jp/
China,,Hefei,VRview,Business Intelligence,,http://www.vrview.cn
Argentina,,Buenos Aires,VU Security,Defense/Security,VU Security is a cybersecurity solutions manufacturer specializing in fraud prevention and identity theft.,http://www.vusecurity.com
India,,Chennai,Vue.ai,E-Commerce,"Mad Street Den, dba Vue.ai, connects brands and people with AI solutions for fashion and apparel to help them segue into the future with technology. Its Cloud based platform offers several AI and Computer Vision modules, just an API call away. Object recognition, gaze tracking, emotion-expression detection, head and facial gestures, 3D facial reconstruction are all designed to help deliver exciting new experiences for consumers.",http://www.vue.ai
South Korea,,Seoul,Vuno,Healthcare,"Vuno develops machine learning technology that analyzes patient imaging data and compares it to a lexicon of processed medical data, allowing doctors to quickly assess a patient's condition and make better decisions. The company has developed a proprietary deep learning engine, VunoNet, for efficient processing and analysis of medical data as well as the Vuno I/O, a physician friendly, AI-assisted medical data annotation platform.",http://www.vuno.co
Sweden,,Stockholm,Vyer Technologies,Real Estate,"Vyer Technologies creates Web-enabled, interactive 3D visualizations that help their customers to present the properties for a broader mass. Through computer vision, Vyer can interpret blueprints, which makes it possible to automate the underlying 3D modeling, which otherwise is both expensive and time-consuming.",http://www.vyer.io
United States, California,Berkeley,Vyrill,Sales/Marketing,An AI powered video analytics & marketing dashboard that allows marketers to activate against user/brand generated video content across web.,https://vyrill.com
United States, New York,New York,Wade & Wendy,Human Resources,"Wade & Wendy is bringing artificial intelligence / machine learning to the recruiting / HR space with the mission of making the process more human for both applicants and hiring managers. The company is named after two artificially intelligent personalities: Wade and Wendy. Wade helps applicants discover meaningful and relevant opportunities. Wendy assists hiring managers with filling open roles. Designed for the most frictionless experience, Wade and Wendy exist on popular messaging platforms; all interactions take place through chat.",http://www.wadeandwendy.ai
United States, New York,New York,Walk and Explore,Travel,Walk and Explore is an artificial intelligence platform. ,https://www.walkandexplore.nyc
Israel,,,walkme,Human Resources,"WalkMe was founded in 2011 as a guidance and navigation tool and has since grown rapidly to meet the enormous demand for next-generation digital learning. The Digital Adoption Platform (DAP) began as a platform-agnostic guidance system to simplify user experience. Responding to the needs of our customers, we have since developed new ways to identify and engage users across platforms and devices.",https://www.walkme.com
France,,Paris,Walnut Algorithms,Fintech,Walnut Algorithms uses machine learning techniques combined with financial expertise to create outperforming computational models for asset management. Walnut Algorithms is considered a technology firm focused on applying the latest advances in data science and machine learning research to the financial markets.,http://www.walnutalgorithms.com
China,,Jiading District,Wangsu,Entertainment,,http://www.chinanetcenter.com/
Israel,,Nes Ziona,Water.io,Business Intelligence,"Water.IO invented, patented, designs & manufactures IoT Smart Packaging solutions for the Consumer Packaged Goods (CPG) industries- food, beverage, pharma, household products, alcohol, beauty, etc.",https://www.water-io.com
China,,Beijing ,Watrix,Computer Vision,"Watrix technology limited co.ltd is an artificial intelligence company with over 10 millions valuation. As the world-wide leader of gait recognition at a distance, Watrix technology is focusing on breakthroughs in computer vision and provides total solution for industries.",http://www.watrix.cc/index-en.html
United States, Pennsylvania,Pittsburgh,"Watt-Learn, Inc.",Energy,"Watt-Learn is creating a profitable grid, one intelligent battery at a time.",http://watt-learn.com/
Sweden,,Stockholm,Watty,Energy,Household energy data analytics,https://watty.io
Sweden,,Stockholm,Watty,Internet of Things,,https://watty.io/
United States, California,Campbell,Wave Computing,Core AI,Wave Computing is a Silicon Valley start up that is revolutionizing the machine learning industry.,https://wavecomp.ai/technology/
Israel,,Tel Aviv,Way2Vat,Fintech,"Way2Vat offers easy, cloud-based travel expense management of automated foreign VAT reclaims for global companies. The company’s B2B2E application aims to revolutionize the way VAT is reclaimed by companies.",www.way2vat.com
United States, California,Palo Alto,WayCare,Computer Vision,"WayCare optimizes traffic management systems leveraging predictive analytics, and enables two way vehicle to city communication.",http://waycare-smart-highway.com
China,,Shanghai,We Cast Media,Fintech,"We Cast Media, formerly known as Sun Video Group, offer services in supply chain management, manufacturer sourcing, supply chain financing, VR (virtual reality)-enabled commerce technology and AI-driven big data technology management.",http://www.wecash.net
Switzerland,,Zug,"WealthArc, Inc.",Fintech,,http://wealtharc.com/
Switzerland,,Zurich,Wealthport,Data Analytics,,https://www.wealthport.com/
Germany,,Bremen,WearHealth,Human Resources,WearHealth is an AI-driven platform that learns from health experts and data from wearables to empower Personal Health Assistance.,http://www.wearhealth.com
Canada,Ontario,Ottawa,Weather Telematics,Transportation,"Weather Telematics is a global IoT data science company offering road safety data products for industrial, government and consumer markets. WTX uses a proprietary vehicle-mounted mobile IoT sensor network and AI machine learning system to generate real-time and predictive Road Weather Conditions, Road Hazard Risk Alert Notifications and Dynamic Routing applications. The WTX platform mitigates weather risk, reduces traffic congestion and makes connected and autonomous navigation safer in all types of road conditions.",http://www.weathertelematics.com
United Kingdom,,London,Weave.ai,Data Analytics,,http://www.weave.ai
Ireland,,Dublin,Webio,Communication,Webio is bringing Artificial Intelligence driven conversations to the enterprise. The company's conversational interface uses AI to streamline inbound and outbound customer communications across new and existing channels.,http://www.webio.com
Tunisia, Tunis,Tunis,WebRadar.me,Sales/Marketing,"Market research, e-reputation & competitive intelligence",WebRadar.me
United States,Colorado,Broomfield,Webroot,Defense/Security,Webroot is a global provider of anti-spyware and other security software to customers ranging from consumers to Fortune 500 enterprises.,http://www.webroot.com
Israel,,Tel Aviv,WebyClip,Computer Vision,,https://www.webyclip.com
China,Beijing,Beijing,WeCash,Fintech,"WeCash (é—ªé“¶) is a China-based big data credit assessment startup. The company helps analyze Chinese customers' credit. Customers sign up for the app, provide information to the company and within 15 minutes, receive a credit evaluation. WeCash is able to quickly provide extensive credit assessments and build predictive models for customers' credit risk.",http://www.wecash.net
United States, Idaho,Coeur D'alene,Wedding Nook,Communication,Wedding Nook is like the Airbnb of Wedding Planning,https://www.weddingnook.com
Israel,,,weebo,Sales/Marketing,,http://wee.bo
China,,Shenzhen,Weishikj,Business Intelligence,SMEs with micro-cloud cloud products for small and medium enterprises realize the rapid development of enterprises,http://www.weishikj.com
Sweden,,Stockholm,Weld,Software Development,,https://www.weld.io/
United States,Massachusetts,Boston,Wellframe,Healthcare,"Wellframe is a Boston-based digital health company that combines mobile technology, artificial intelligence and human-centered process design to connect people and amplify care. Wellframe's Harvard and MIT trained team is supported by investors and advisers who are successful leaders in enterprise health and tech. Wellframe has completed successful clinical trials with top-tier academic medical centers and is partnering with leading risk-bearing entities.",http://www.wellframe.com
China,,Daxing District,Wellgaga,Robotics,"Wisdom Internet is a smart machine networking platform, the goal is to make intelligent robot function extension and service applications easier to connect; purpose is to bring people a smart new life experience! Through technical docking and business docking, to provide users with program purchase, hardware purchase, intelligent services and intelligent shopping, users can quickly and accurately find their own needs of the program, hardware and services, without going too complex website classification to find.",http://www.wellgaga.com/
United States,New York,New York,WellSheet,Healthcare,"WellSheet is a web application that improves clinicians'â€‹ productivity and care quality when treating complex patients, prioritizing clinically relevant and important information across sources with machine learning. WellSheet optimizes clinical workflow with machine learning by predicting what clinicians need to know about complex patients at the point of care.",http://www.wellsheet.com
United States,Colorado,Denver,WellTok,Healthcare,"WellTok combines knowledge of the healthcare industry and social networking technology in its CafeWell.com channel to achieve levels of consumer engagement for healthcare population managers through Social Health Management. WellTok's software/Internet products focus on providing a complete, integrated solution that include the engaging social health network, CafeWell; actionable member and group analytics; and integration with enterprise information systems.",http://www.welltok.com
Sweden,,Kista,WeMeMove,Communication,"Wememove has developed an app that acts as a virtual coach for sports such as skiing and running. By blending advanced data analysis, cloud computing and machine learning successful company via a telephone or a smartwatch analyze user movement patterns and provide feedback in real time.",http://www.wememove.com
Germany,,Berlin,Weps,Software Development,,https://getweps.com/
China,Shanghai,Shanghai,Westwell Lab,Core AI,"Westwell Lab is an artificial intelligence chip maker, specialized in Neuromorphic engineering.",http://www.westwell-lab.com
United States, California,San Francisco,"Wexus Technologies, Inc.",Energy,Ag Energy & Water Management System,https://wexusapp.com
United Kingdom,,London,White Lab,Healthcare,,https://www.wlab.io/
United States,California,San Francisco,Whole Biome,Healthcare,Whole Biome integrates laboratory science and computational analysis to gain a comprehensive and high resolution view of each individual's microbiome. The copmany then applies machine learning algorithms to identify broader trends in biochemical and metabolic pathways across populations. These high resolution data and analytic tools enable us to identify specific microbiome markers and novel interventions to treat diseases.,http://www.wholebiome.com
Israel,,,WhoPaze,Fintech,"WhoPaze allows an additional payment option and controlled shopping process by assigning the payment decision and action to a remote user not present in the shop. While one user does the shopping, another user pays for the purchase.",www.whopaze.com
Egypt, Al Jizah,G√É¬Æza,WideBot,Communication,"WideBot is Bot Framework Creator allowing the average person to create, modify and execute automated command based bots.",https://widebot.com/widebot/
China,,Xi 'an city,WideWorld,Robotics,"XI’AN WIDEWORLDS AVIATION TECHNOLOGY CO.,LTD, focuson research, development and manufacture drone and drone parts, dronecustomized solutions, Intelligent control equipment, Intelligent FlightControl, Intelligent flow meter, Steering gear, Engine, Electric powercombination, remote control with high quality and most reasonable prices.",http://www.wideworldz.net
France,,Bordeaux,Wiidii,Communication,Wiidii offers a mobile personal assistant. Wiidii is an application combining both a unique artificial intelligence and a real concierge service (with human personal assistants). Wiidii assists users in everyday life and during private or business trips.,http://www.wiidii.com
Israel,,Tel Aviv,windward,Entertainment,,http://www.wnwd.com
China,,Xi'an,Wingspan,Healthcare,,http://www.wingspan.cn
